ID,Ave d13C,Ave d18O,SD d13C,SD d18O,Depth
3H2029,0.96,-5.09,0.13,0.16,694
3H2034,-0.74,-5.26,0.08,0.04,699
3H2039,-0.54,-6.35,0.04,0.05,704
3H2044,0.56,-6.48,0.05,0.04,709
3H2049,0.42,-5.44,0.08,0.07,714
3H2053,0.62,-5.95,0.12,0.10,718
3H2059,0.30,-5.34,0.11,0.16,724
3H2064,0.22,-5.47,0.07,0.03,729
3H2069,-0.64,-5.97,0.05,0.16,734
3H2074,1.26,-4.87,0.11,0.14,739
3H2089,-2.26,-8.02,0.08,0.06,754
3H2094,0.03,-6.74,0.03,0.05,759
3H2099,0.56,-4.98,0.10,0.20,764
3H2104,0.80,-4.72,0.15,0.15,769
3H2109,-0.39,-6.05,0.09,0.11,774
3H2114.5,1.07,-5.11,0.19,0.17,779.5
3H2119,-0.01,-6.09,0.08,0.11,784
3H2124,0.66,-5.77,0.12,0.10,789
3H2129,0.11,-5.90,0.07,0.07,794
3H2134,0.54,-5.47,0.12,0.14,799
3H2137,0.04,-6.10,0.12,0.10,802
4H1009,-0.38,-5.51,0.06,0.41,823.5
4H1014,-1.34,-5.42,0.07,0.16,828.5
4H1019,0.96,-4.18,0.11,0.17,833.5
4H1024,-0.49,-4.84,0.07,0.07,838.5
4H1029,0.96,-4.69,0.19,0.30,843.5
4H1034,-0.14,-6.08,0.12,0.09,848.5
4H1039,-1.07,-6.44,0.09,0.20,853.5
4H1044,0.23,-5.62,0.07,0.05,858.5
4H1049,-0.74,-6.31,0.05,0.11,863.5
4H1054,-1.14,-5.38,0.04,0.09,868.5
4H1058.5,0.06,-5.23,0.05,0.08,873
4H1064,-0.54,-5.96,0.05,0.04,878.5
4H1069,-0.06,-5.33,0.05,0.03,883.5
4H1074,-0.42,-5.59,0.04,0.03,888.5
4H1084,-1.20,-4.35,0.06,0.06,898.5
4H1089,0.57,-5.02,0.07,0.09,903.5
4H1090,0.17,-4.71,0.04,0.05,909
4H1098,0.38,-4.32,0.06,0.09,912.5
4H1104,-1.08,-4.59,0.04,0.05,918.5
4H1109,-0.35,-5.56,0.05,0.02,923.5
4H1115.5,-2.55,-4.07,0.04,0.12,930
4H1118,-1.13,-4.75,0.08,0.04,932.5
4H1124,-1.63,-4.87,0.06,0.10,938.5
4H1129,-0.85,-4.45,0.07,0.05,943.5
4H1134,-0.60,-5.15,0.08,0.04,948.5
4H138.5,-0.62,-5.34,0.03,0.05,953
4H1144,-0.98,-4.02,0.03,0.03,958.5
4H1148.5,0.10,-4.76,0.08,0.03,963
4H2004,0.34,-5.12,0.10,0.10,967
4H2009,0.39,-5.03,0.04,0.06,972
4H2014,-0.28,-5.29,0.06,0.05,977
4H2019,-0.27,-5.33,0.07,0.05,982
4H2024,0.30,-5.29,0.05,0.15,987
4H2029,-0.39,-5.49,0.19,0.08,992
4H2044.5,-0.70,-5.62,0.05,0.05,1007.5
4H2050,-0.38,-5.37,0.06,0.05,1013
4H2079,-1.11,-6.03,0.04,0.08,1042
4H2109,0.52,-4.54,0.07,0.02,1072
4H2114,0.57,-4.58,0.09,0.03,1077
4H2119,-0.76,-4.37,0.08,0.02,1082
4H2124,0.12,-5.03,0.14,0.10,1087
4H2129,-0.28,-4.73,0.04,0.05,1092
4H2134,-1.35,-4.87,0.08,0.05,1097
4H2137.5,-0.56,-5.51,0.09,0.06,1100.5
