file_id,file_datetime,GC Method,id1,Analysis,Method,H3 Factor,Depth_cm,FileName,CoreName,DepthRange,compound,peak_info,peak_nr,rt_start,rt,rt_end,amp2,amp3,bgrd2_start,bgrd3_start,bgrd2_end,bgrd3_end,area2,area3,r3/2,rd3/2,d3/2,d2H,at2H
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,H2,H2 (208.9),1,203.8399963,208.9499969,231.8899994,4.886428442,1.156062321,0.205816076,0.157125688,0.205816076,0.157125688,93.62509393,20.15002982,0.215220396,0.442695589,-278.9719453,-278.9719453,0.011228751
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,H2,H2 (249.1),2,244.5,249.0899963,272.019989,4.883860578,1.157111644,0.206731851,0.156487411,0.206731851,0.156487411,93.57898347,20.13119391,0.215125161,0,-279.291,-279.291,0.011223783
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,H2,H2 (289),3,285.1499939,288.980011,311.3900146,4.871995689,1.15202866,0.20706829,0.156458349,0.20706829,0.156458349,93.48592451,20.10680269,0.215078396,-0.124565112,-279.3807752,-279.3807752,0.011222385
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,NA,C17 (439??),NA,NA,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,C17,?? (445.3),4,440.4400024,445.269989,454.7200012,2.432178543,0.624355796,0.302477575,0.180053267,0.302477575,0.180053267,8.066276929,1.950009226,0.241748361,124.2700813,-189.728434,-189.728434,0.012618387
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,NA,C19 (500.9),5,497.0899963,500.9200134,505.2799988,0.364164401,0.090209145,0.298996779,0.179033274,0.298996779,0.179033274,1.28829397,0.306664246,0.23803903,107.1629935,-202.0576661,-202.0576661,0.012426408
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,C19,?? (509.6),6,505.2799988,509.6099854,514.4500122,1.364651131,0.350167546,0.331041273,0.186163116,0.331041273,0.186163116,4.680812217,1.145313312,0.244682602,138.0864912,-179.770823,-179.770823,0.012773438
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,C21,C21 (579.6),7,569.6500244,579.6400146,593.9799805,0.678406167,0.175660201,0.293922437,0.177650957,0.293922437,0.177650957,3.107223069,0.763053896,0.245574225,142.4199743,-176.6476427,-176.6476427,0.012822069
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,C22,C22 (610??),NA,NA,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,NA,?? (616.3),8,610.1799927,616.3300171,624.289978,0.314063502,0.081108892,0.274089744,0.171963082,0.274089744,0.171963082,1.038026964,0.250861111,0.241671093,124.3585446,-189.6646777,-189.6646777,0.01261938
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,C23,C23 (656.1),9,648.9799805,656.0999756,668.3800049,2.754568324,0.679312022,0.270102153,0.172104991,0.270102153,0.172104991,11.12108783,2.654474805,0.238688413,110.5847038,-199.5916087,-199.5916087,0.012464807
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,C24,C24 (692.5),10,683.539978,692.5100098,700.710022,0.803298483,0.201863021,0.2706441,0.171168302,0.2706441,0.171168302,2.912610062,0.711852812,0.244403747,137.273832,-180.3565138,-180.3565138,0.012764318
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,C25,C25 (733.5),11,725.3599854,733.4799805,739.3099976,4.050462301,0.996128971,0.291702241,0.176488431,0.291702241,0.176488431,18.77546918,4.469865279,0.238069432,107.9043698,-201.5233495,-201.5233495,0.012434727
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,C26,C26 (768.5),12,760.5999756,768.5200195,776.4400024,1.018798659,0.256803181,0.295450039,0.177743658,0.295450039,0.177743658,3.685796986,0.899482503,0.244040165,135.7831084,-181.4308917,-181.4308917,0.012747589
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,C27,C27 (808.7),13,798.0100098,808.6900024,820.1500244,3.81374251,0.940787434,0.302403402,0.178485976,0.302403402,0.178485976,19.5416396,4.690871517,0.24004493,117.2935339,-194.7564945,-194.7564945,0.012540095
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,C28,C28 (835??),NA,NA,835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,NA,?? (842.4),14,835.2700195,842.4199829,850.8599854,0.863999292,0.218917103,0.322406594,0.183401424,0.322406594,0.183401424,3.189834228,0.780905267,0.244810611,139.5650519,-178.705211,-178.705211,0.01279003
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,C29,C29 (881.8),15,871.3699951,881.7800293,892.9899902,3.494172067,0.868904172,0.344105043,0.189062573,0.344105043,0.189062573,18.41215472,4.426739997,0.240424875,119.2526226,-193.3445616,-193.3445616,0.01256208
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,NA,?? (896.8),16,892.9899902,896.8200073,902.710022,0.201679329,0.04630623,0.434016077,0.209143763,0.434016077,0.209143763,1.115308967,0.244642483,0.219349517,21.17606645,-264.0292183,-264.0292183,0.011461431
K11069_Acquisition-1264.cf,12/24/2010 16:09,New\H2\30m250micron\FAME_STD_250.6890,K11069,10122,New\H2\30m320micron\FAME_C16-C31.met,4.384088846,69,alk11069.csv,1B1H1,69-70,C30,C30 (909??),NA,NA,909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
